id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Départ Samoëns,708,0.0,0.0,0,0,6.72695,46.0835,Ve. 23:45,00:00:00,-,0.0,0.0,0.0
4,Pointe d'Angolon,2059,16.7,16.7,1788,1788,6.73103,46.1379,Sa. 03:29,03:44:07,297,4.47,3.7352777777777777,3.7352777777777777
6,Mines d'Or,1388,23.8,7.1,1931,143,6.76556,46.1486,Sa. 04:51,05:05:37,273,5.26,5.093611111111111,1.358333333333333
8,Col de Coux,1915,26.9,3.0,2459,528,6.79276,46.1502,Sa. 05:44,05:58:33,215,3.45,5.975833333333333,0.8822222222222225
10,Col de la Golèse,1661,32.4,5.5,2700,241,6.76095,46.1305,Sa. 06:34,06:49:13,203,6.51,6.820277777777777,0.8444444444444441
12,Col de Bostan,2274,37.3,4.9,3402,702,6.80974,46.1343,Sa. 08:07,08:21:36,178,3.17,8.36,1.5397222222222222
14,Le Crêt,1019,44.9,7.6,3412,10,6.74487,46.1073,Sa. 09:37,09:52:09,188,5.04,9.869166666666667,1.5091666666666672
22,Boret,1110,58.5,13.6,4868,1456,6.84522,46.102,Sa. 14:20,14:34:27,167,2.89,14.574166666666667,4.705
24,Pelly,938,66.2,7.7,5150,282,6.83441,46.0746,Sa. 15:42,15:56:26,171,5.64,15.940555555555555,1.3663888888888884
26,Praz Commune,1676,70.7,4.5,5881,731,6.82114,46.0577,Sa. 17:32,17:46:32,156,2.47,17.775555555555556,1.8350000000000009
28,Base vie Sixt,759,78.7,8.0,5911,30,6.77398,46.0539,Sa. 18:52,19:07:04,153,5.97,19.11777777777778,1.3422222222222224
44,Gers,1537,87.0,8.3,6832,921,6.73072,46.0283,Sa. 21:19,21:33:58,151,3.39,21.566111111111113,2.448333333333334
46,1km arrivée,701,95.9,8.9,6863,31,6.71839,46.0764,Sa. 22:57,23:11:44,156,5.46,23.195555555555554,1.6294444444444416
50,Arrivée,692,97.4,1.4,6863,0,6.71293,46.0797,Sa. 23:11,23:25:52,159,6.11,23.43111111111111,0.23555555555555685
