id,Point_passage,Delta_Dist_km,Cumul_Dist_km,Delta_D+_m,Delta_D-_m,Cumul_D+_m,Cumul_D-_m,lon,lat,Altitude_m
1,Départ,0.0,0.0,0,0,0,0,6.45826,45.71642,533
2,Gîte de Molliessoulaz,4.0,4.0,422,18,422,18,6.46178,45.70777,956
3,Les Chappes,2.0,7.0,475,1,898,19,6.45347,45.69656,1454
4,Frêtte basse,3.0,9.0,555,7,1453,26,6.46982,45.6829,2029
5,Col des Lacs,3.0,13.0,318,113,1771,139,6.49444,45.66374,2245
6,Chalet du Soufflet,3.0,16.0,6,423,1777,562,6.51137,45.65223,1807
7,Ardoisière de Cevins,2.0,18.0,215,63,1991,624,6.5101,45.63713,1967
8,Col des Combettes,3.0,21.0,263,108,2254,732,6.52981,45.64957,2129
9,Col des Bonnets rouges,4.0,25.0,198,286,2452,1019,6.56261,45.6531,2036
10,Lac de St Guerin,5.0,30.0,14,462,2465,1481,6.5822,45.64175,1566
11,Lac des Fées,3.0,33.0,329,1,2794,1482,6.60096,45.62589,1909
12,Col du Coin,4.0,37.0,506,50,3300,1532,6.6253,45.62997,2388
13,Lac d'amour,2.0,39.0,7,137,3307,1669,6.63943,45.63725,2251
14,Col à Tutu,1.0,40.0,292,4,3599,1673,6.65133,45.63914,2553
15,Refuge de Presset,2.0,42.0,87,133,3686,1806,6.66372,45.64827,2505
16,Col du grand Fond,0.89,43.0,153,2,3839,1808,6.66695,45.6542,2663
17,Cormet de Roselend,7.0,49.0,12,674,3851,2482,6.69028,45.69111,1969
18,Tunnel du Roc du Vent,4.0,54.0,328,107,4179,2590,6.66743,45.70288,2200
19,Col de la Sauce,3.0,57.0,229,127,4408,2717,6.69436,45.71171,2307
20,Refuge de la Croix du Bonhomme,3.0,60.0,239,112,4648,2829,6.71713,45.72196,2440
21,Col du Bonhomme,2.0,62.0,56,161,4704,2990,6.70642,45.73504,2330
22,Hameau de la Gittaz,4.0,66.0,26,673,4730,3664,6.67435,45.72256,1651
23,Faux Col de la Gittaz,4.0,70.0,627,0,5357,3664,6.6721,45.74327,2309
24,Lac noir,2.0,73.0,113,240,5470,3903,6.64671,45.7437,2176
25,La Girotte,5.0,77.0,83,471,5552,4374,6.64291,45.76322,1768
26,Lac du Bout de Crêt,4.0,81.0,392,12,5944,4386,6.63082,45.73776,2167
27,Pas d'Outray,2.0,83.0,160,151,6104,4537,6.61307,45.72839,2176
28,La Journée,2.0,86.0,0,466,6104,5003,6.60677,45.73843,1687
29,Hauteluce,7.0,92.0,116,629,6219,5632,6.58246,45.74912,1149
30,Les Jorets,3.0,95.0,553,7,6772,5639,6.56368,45.75793,1721
31,Les Saisies - Office du Tourisme,4.0,100.0,75,157,6848,5797,6.53884,45.75726,1635
32,Le Lata du Vaz,5.0,104.0,317,137,7165,5934,6.49597,45.74343,1824
33,Plan des Maisons,5.0,109.0,29,610,7194,6544,6.47579,45.72833,1214
34,Queige,3.0,113.0,3,537,7197,7082,6.46191,45.72133,653
35,Arrivée,1.0,114.0,3,119,7200,7201,6.45809,45.71641,532
